V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17_orig,label_simple,V17
000106b_,83.0, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,84.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5.0, BbM,Major,Major
000106b_,85.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2.0, BbM,Major,Major
000106b_,86.0,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,C,3.0, A_m,Minor,Minor
000106b_,87.0,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,C,2.0, A_m,Minor,Minor
000106b_,88.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,D,4.0, C_M7,Seventh,Seventh
000106b_,89.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,2.0, C_M7,Seventh,Seventh
000106b_,90.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, F_M,Major,Major
000106b_,91.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,92.0,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO,C,5.0, C_M4,Suspended,Suspended
000106b_,93.0,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,C,2.0, C_M4,Suspended,Suspended
000106b_,94.0,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,C,1.0, C_M4,Suspended,Suspended
000106b_,95.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,3.0, C_M7,Seventh,Seventh
000106b_,96.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,2.0, C_M7,Seventh,Seventh
000106b_,97.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,1.0, C_M7,Seventh,Seventh
000106b_,98.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4.0, F_M,Major,Major
000106b_,99.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,5.0, C_M,Major,Major
000106b_,100.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,2.0, C_M,Major,Major
000106b_,101.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,1.0, C_M,Major,Major
000106b_,102.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,3.0, C_M,Major,Major
000106b_,103.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,1.0, C_M,Major,Major
000106b_,104.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,2.0, C_M,Major,Major
000106b_,105.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,1.0, C_M,Major,Major
000106b_,106.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4.0, F_M,Major,Major
000106b_,107.0,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO,C,5.0, C_M4,Suspended,Suspended
000106b_,108.0,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO, NO, NO,C,1.0, C_M4,Suspended,Suspended
000106b_,109.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2.0, C_M4,Suspended,Suspended
000106b_,110.0,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,C,1.0, C_M4,Suspended,Suspended
000106b_,111.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3.0, C_M,Major,Major
000106b_,112.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4.0, F_M,Major,Major
000106b_,113.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5.0, F_M,Major,Major
000106b_,114.0,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,G,2.0, F_M,Major,Major
000106b_,115.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,3.0, F_M,Major,Major
000106b_,116.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,117.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,4.0, C_M,Major,Major
000106b_,118.0,YES, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO,D,2.0, C_M,Major,Major
000106b_,119.0,YES, NO,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,D,1.0, C_M,Major,Major
000106b_,120.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,3.0, C_M7,Seventh,Seventh
000106b_,121.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2.0, C_M7,Seventh,Seventh
000106b_,122.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,1.0, C_M7,Seventh,Seventh
000106b_,123.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5.0, F_M,Major,Major
000106b_,124.0,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,G,2.0, F_M,Major,Major
000106b_,125.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,3.0, F_M,Major,Major
000106b_,126.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,127.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,4.0, C_M,Major,Major
000106b_,128.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2.0, C_M,Major,Major
000106b_,129.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES,YES, NO,Bb,3.0, F_M,Major,Major
000106b_,130.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,2.0, F_M,Major,Major
000106b_,131.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,C,5.0, G_m,Minor,Minor
000106b_,132.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,C,2.0, G_m,Minor,Minor
000106b_,133.0, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,1.0, G_m,Minor,Minor
000106b_,134.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,3.0, D_m,Minor,Minor
000106b_,135.0,YES, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO,C,2.0, D_m,Minor,Minor
000106b_,136.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,4.0, G_m,Minor,Minor
000106b_,137.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2.0, G_m,Minor,Minor
000106b_,138.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3.0, C_M,Major,Major
000106b_,139.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2.0, C_M,Major,Major
000106b_,140.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,1.0, C_M,Major,Major
000106b_,141.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5.0, F_M,Major,Major
000106b_,142.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,4.0, D_m,Minor,Minor
000106b_,143.0, NO, NO,YES, NO, NO,YES, NO,YES, NO,YES, NO, NO,D,1.0, D_m,Minor,Minor
000106b_,144.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, D_m,Minor,Minor
000106b_,145.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,F,1.0, D_m,Minor,Minor
000106b_,146.0,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,3.0, A_m,Minor,Minor
000106b_,147.0,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,A,2.0, A_m,Minor,Minor
000106b_,148.0,YES, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5.0, BbM,Major,Major
000106b_,149.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,D,2.0, BbM,Major,Major
000106b_,150.0,YES, NO, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO,F,3.0, F_M,Major,Major
000106b_,151.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2.0, F_M,Major,Major
000106b_,152.0, NO, NO, NO, NO, NO,YES, NO,YES, NO,YES,YES, NO,G,4.0, C_M7,Seventh,Seventh
000106b_,153.0, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,2.0, C_M7,Seventh,Seventh
000106b_,154.0,YES, NO, NO, NO, NO, NO, NO,YES, NO,YES, NO, NO,A,3.0, F_M,Major,Major
000106b_,155.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,2.0, F_M,Major,Major
000106b_,156.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,5.0, G_M7,Seventh,Seventh
000106b_,157.0, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,2.0, G_M7,Seventh,Seventh
000106b_,158.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3.0, C_M,Major,Major
000106b_,159.0,YES, NO, NO, NO,YES,YES, NO,YES, NO, NO, NO, NO,C,1.0, C_M,Major,Major
000106b_,160.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2.0, C_M,Major,Major
000106b_,161.0,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,1.0, C_M,Major,Major
000106b_,162.0,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4.0, F_M,Major,Major
000206b_,1.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3.0, D_M,Major,Major
000206b_,2.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,5.0, G_m,Minor,Minor
000206b_,3.0,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,A,3.0, F#d,Diminished,Diminished
000206b_,4.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,Bb,4.0, G_m,Minor,Minor
000206b_,5.0, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES,YES, NO,A,3.0, G_m,Minor,Minor
000206b_,6.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,2.0, G_m,Minor,Minor
000206b_,7.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,5.0, D_M,Major,Major
000206b_,8.0,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,2.0, D_M,Major,Major
000206b_,9.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3.0, G_m,Minor,Minor
000206b_,10.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,4.0, D_M,Major,Major
000206b_,11.0,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,C,3.0, AbM,Major,Major
000206b_,12.0, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C#,5.0, C#d7,Diminished,Diminished
000206b_,13.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3.0, D_M,Major,Major
000206b_,14.0,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,2.0, D_M,Major,Major
000206b_,15.0, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,4.0, C#d7,Diminished,Diminished
000206b_,16.0,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,3.0, D_M7,Seventh,Seventh
000206b_,17.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,5.0, G_m,Minor,Minor
000206b_,18.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3.0, D_M,Major,Major
000206b_,19.0, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,D,1.0, D_M,Major,Major
000206b_,20.0,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,D,2.0, D_M,Major,Major
000206b_,21.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,4.0, G_m,Minor,Minor
000206b_,22.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3.0, D_M,Major,Major
000206b_,23.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,5.0, G_m,Minor,Minor
000206b_,24.0,YES, NO, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,A,3.0, F#d,Diminished,Diminished
000206b_,25.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,Bb,4.0, G_m,Minor,Minor
000206b_,26.0, NO, NO,YES, NO, NO, NO, NO,YES, NO,YES,YES, NO,A,3.0, G_m,Minor,Minor
000206b_,27.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,2.0, G_m,Minor,Minor
000206b_,28.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,5.0, D_M,Major,Major
000206b_,29.0,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,2.0, D_M,Major,Major
000206b_,30.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3.0, G_m,Minor,Minor
000206b_,31.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,4.0, D_M,Major,Major
000206b_,32.0,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,C,3.0, AbM,Major,Major
000206b_,33.0, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C#,5.0, C#d7,Diminished,Diminished
000206b_,34.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3.0, D_M,Major,Major
000206b_,35.0,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,2.0, D_M,Major,Major
000206b_,36.0, NO,YES, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,4.0, C#d7,Diminished,Diminished
000206b_,37.0,YES, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,F#,3.0, D_M7,Seventh,Seventh
000206b_,38.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,5.0, G_m,Minor,Minor
000206b_,39.0, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,D,3.0, D_M,Major,Major
000206b_,40.0, NO, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,D,1.0, D_M,Major,Major
000206b_,41.0,YES, NO,YES, NO, NO, NO, NO, NO, NO,YES, NO, NO,D,2.0, D_M,Major,Major
000206b_,42.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,4.0, G_m,Minor,Minor
000206b_,43.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,G,3.0, G_m,Minor,Minor
000206b_,44.0, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,C#,5.0, A_M,Major,Major
000206b_,45.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,3.0, D_m,Minor,Minor
000206b_,46.0, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,4.0, A_M,Major,Major
000206b_,47.0, NO,YES, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,G,2.0, A_M,Major,Major
000206b_,48.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3.0, D_m,Minor,Minor
000206b_,49.0, NO, NO,YES, NO,YES, NO, NO, NO, NO,YES, NO, NO,E,2.0, D_m,Minor,Minor
000206b_,50.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,5.0, D_m,Minor,Minor
000206b_,51.0,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,C,2.0, D_m,Minor,Minor
000206b_,52.0, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,YES, NO,Bb,3.0, G_m,Minor,Minor
000206b_,53.0, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,A,4.0, A_M,Major,Major
000206b_,54.0, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,3.0, D_m,Minor,Minor
000206b_,55.0,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,2.0, D_m,Minor,Minor
000206b_,56.0, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,YES, NO,Eb,5.0, EbM,Major,Major
000206b_,57.0,YES, NO, NO,YES, NO, NO, NO,YES, NO,YES, NO, NO,Eb,2.0, EbM,Major,Major
000206b_,58.0, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,D,3.0, BbM,Major,Major
000206b_,59.0, NO, NO,YES, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,2.0, BbM,Major,Major
